date,close
2011-12-09,393.62
2011-12-11,391.84
2011-12-12,388.81
2011-12-13,380.19
2011-12-14,378.94
2011-12-15,381.02
2011-12-18,382.21
2011-12-19,395.95
2011-12-20,396.44
2011-12-21,398.55
2011-12-22,403.43
2011-12-26,406.53
2011-12-27,402.64
2011-12-28,405.12
2011-12-29,405
2012-01-03,411.23
2012-01-04,413.44
2012-01-05,418.03
2012-01-06,422.4
2012-01-09,421.73
2012-01-09,423.24
2012-01-10,422.55
2012-01-11,421.39
2012-01-12,419.81
2012-01-16,424.7
2012-01-17,429.11
2012-01-18,427.75
2012-01-19,420.3
2012-01-22,427.41
2012-01-23,420.41
2012-01-24,446.66
2012-01-25,444.63
2012-01-26,447.28
2012-01-29,453.01
2012-01-30,456.48
2012-02-01,456.19
2012-02-02,455.12
2012-02-03,459.68
2012-02-06,463.97
2012-02-07,468.83
2012-02-08,476.68
2012-02-09,493.17
2012-02-09,493.42
2012-02-12,502.6
2012-02-13,509.46
2012-02-14,497.67
2012-02-15,502.21
2012-02-16,502.12
2012-02-20,514.85
2012-02-21,513.04
2012-02-22,516.39
2012-02-23,522.41
2012-02-26,525.76
2012-02-27,535.41
2012-02-28,542.44
2012-03-01,544.47
2012-03-02,545.18
2012-03-05,533.16
2012-03-06,530.26
2012-03-07,530.69
2012-03-08,541.99
2012-03-09,545.17
2012-03-11,552
2012-03-12,568.1
2012-03-13,589.58
2012-03-14,585.56
2012-03-15,585.57
2012-03-18,601.1
2012-03-19,605.96
2012-03-20,602.5
2012-03-21,599.34
2012-03-22,596.05
2012-03-25,606.98
2012-03-26,614.48
2012-03-27,617.62
2012-03-28,609.86
2012-03-29,599.55
2012-04-02,618.63
2012-04-03,629.32
2012-04-04,624.31
2012-04-05,633.68
2012-04-09,636.23
2012-04-09,628.44
2012-04-10,626.2
2012-04-11,622.77
2012-04-12,605.23
2012-04-15,580.13
2012-04-16,609.7
2012-04-17,608.34
2012-04-18,587.44
2012-04-19,572.98
2012-04-22,571.7
2012-04-23,560.28
2012-04-24,610
2012-04-25,607.7
2012-04-26,603
2012-04-29,583.98
2012-05-01,582.13
